iter	Logloss
0	0.6797884359
1	0.6666415223
2	0.6629843017
3	0.6548998874
4	0.6516108121
5	0.6441961912
6	0.6401741685
7	0.6316697689
8	0.6306842071
9	0.6265147156
10	0.6207844049
11	0.6153133841
12	0.6139185468
13	0.6111981535
14	0.6067936784
15	0.6021493887
16	0.5994997571
17	0.5967056569
18	0.5906630316
19	0.5868850451
20	0.5818128472
21	0.576332068
22	0.5730867278
23	0.571255922
24	0.5696609591
25	0.5695712461
26	0.5683144659
27	0.5682461196
28	0.5651690848
29	0.5634331705
30	0.5619085727
31	0.5601203909
32	0.5554409534
33	0.5533502135
34	0.5491757194
35	0.5488914432
36	0.5455997261
37	0.544572705
38	0.5441808738
39	0.5433692386
40	0.5419572295
41	0.5410541946
42	0.5409384666
43	0.5409323314
44	0.5408317669
45	0.5390620305
46	0.5361298132
47	0.5340875451
48	0.5339431584
49	0.5316636564
50	0.5273303297
51	0.5272237607
52	0.5272138046
53	0.5272138011
54	0.5256997856
55	0.5252645216
56	0.5245657495
57	0.5229657904
58	0.5207559652
59	0.5192077336
60	0.5165151379
61	0.5162870678
62	0.5132987705
63	0.5132170497
64	0.5126525185
65	0.512652515
66	0.5095444321
67	0.5080015298
68	0.5061475061
69	0.5034055127
70	0.5030013954
71	0.5029329294
72	0.501730677
73	0.4990587432
74	0.497334838
75	0.496126338
76	0.4926696671
77	0.4905962315
78	0.489592778
79	0.4894911543
80	0.488862217
81	0.4883895763
82	0.4862882546
83	0.4845350947
84	0.4831447048
85	0.4818782847
86	0.4818043101
87	0.4791285086
88	0.4765955576
89	0.4765930259
90	0.4760320974
91	0.4733003879
92	0.4720718059
93	0.4705545615
94	0.4675526662
95	0.4650076367
96	0.4627037931
97	0.4621932243
98	0.4600660952
99	0.4582334871
100	0.4558750136
101	0.4525986554
102	0.4504868781
103	0.4485722976
104	0.4476930906
105	0.4453850557
106	0.4425110013
107	0.4410476836
108	0.4386433513
109	0.4368023237
110	0.434734417
111	0.4334395409
112	0.4316119619
113	0.429479652
114	0.4258786478
115	0.4249649988
116	0.4244786093
117	0.4229162748
118	0.4216532152
119	0.4203421212
120	0.4188043122
121	0.4182408887
122	0.4156648426
123	0.413635574
124	0.4112212167
