iter	Passed	Remaining
418	2548	3533
419	2554	3527
420	2559	3520
421	2565	3514
422	2571	3507
423	2577	3501
424	2582	3494
425	2588	3488
426	2594	3481
427	2600	3475
428	2606	3469
429	2612	3462
430	2617	3456
431	2623	3449
432	2629	3442
433	2634	3436
434	2640	3429
435	2646	3423
436	2652	3416
437	2657	3410
438	2664	3405
439	2671	3399
440	2677	3394
441	2683	3388
442	2689	3381
443	2695	3375
444	2701	3369
445	2707	3362
446	2713	3356
447	2718	3349
448	2726	3345
449	2732	3339
450	2738	3333
451	2744	3327
452	2749	3320
453	2755	3314
454	2761	3307
455	2766	3300
456	2772	3293
457	2777	3287
458	2783	3280
459	2788	3274
460	2794	3267
461	2800	3261
462	2806	3254
463	2811	3248
464	2817	3241
465	2823	3235
466	2829	3229
467	2835	3222
468	2841	3216
469	2846	3210
470	2852	3203
471	2858	3197
472	2864	3191
473	2869	3184
474	2876	3178
475	2881	3172
476	2887	3166
477	2893	3159
478	2899	3153
479	2905	3147
480	2910	3140
481	2916	3134
482	2921	3127
483	2927	3120
484	2932	3114
485	2939	3108
486	2944	3102
487	2951	3096
488	2957	3090
489	2963	3083
490	2969	3077
491	2974	3071
492	2984	3069
493	2991	3064
494	2998	3058
495	3005	3054
496	3013	3049
497	3020	3044
498	3026	3038
499	3033	3033
500	3039	3027
501	3045	3021
502	3051	3015
503	3057	3008
504	3063	3002
505	3069	2996
506	3074	2989
507	3080	2983
508	3086	2977
509	3092	2971
510	3098	2965
511	3104	2958
512	3109	2952
513	3116	2946
514	3122	2940
515	3128	2934
516	3134	2928
517	3139	2921
518	3145	2915
519	3151	2909
520	3157	2903
521	3165	2898
522	3172	2893
523	3177	2886
524	3184	2880
525	3190	2875
526	3196	2869
527	3202	2862
528	3208	2856
529	3213	2849
530	3219	2843
531	3225	2837
532	3231	2831
533	3237	2825
534	3242	2818
535	3248	2812
536	3254	2805
537	3260	2799
538	3266	2793
539	3271	2786
540	3277	2780
541	3283	2774
542	3290	2768
543	3295	2762
544	3301	2756
545	3307	2749
546	3313	2743
547	3318	2737
548	3324	2730
549	3330	2724
550	3336	2718
551	3342	2712
552	3347	2706
553	3353	2700
554	3359	2693
555	3365	2687
556	3371	2681
557	3376	2674
558	3382	2668
559	3388	2662
560	3394	2656
561	3400	2650
562	3406	2643
563	3412	2637
564	3417	2631
565	3423	2625
566	3429	2619
567	3435	2612
568	3440	2606
569	3446	2600
570	3452	2594
571	3458	2587
572	3464	2581
573	3469	2574
574	3475	2568
575	3480	2562
576	3486	2555
577	3492	2549
578	3497	2543
579	3503	2537
580	3510	2531
581	3515	2525
582	3521	2518
583	3527	2512
584	3533	2506
585	3538	2500
586	3544	2493
587	3550	2487
588	3556	2481
589	3561	2475
590	3567	2469
591	3573	2462
592	3579	2456
593	3585	2450
594	3591	2444
595	3596	2438
596	3602	2431
597	3608	2425
598	3613	2419
599	3619	2412
600	3624	2406
601	3630	2400
602	3636	2394
603	3642	2388
604	3648	2382
605	3654	2376
606	3661	2370
607	3666	2363
608	3672	2357
609	3678	2351
610	3683	2345
611	3689	2339
612	3695	2332
613	3700	2326
614	3706	2320
615	3712	2314
616	3718	2308
617	3724	2302
618	3730	2296
619	3736	2289
620	3741	2283
621	3747	2277
622	3753	2271
623	3759	2265
624	3764	2258
625	3770	2252
626	3776	2246
627	3781	2240
628	3787	2234
629	3793	2227
630	3798	2221
631	3804	2215
632	3810	2209
633	3815	2202
634	3821	2196
635	3827	2190
636	3833	2184
637	3838	2178
638	3844	2171
639	3850	2165
640	3856	2159
641	3861	2153
642	3867	2147
643	3873	2141
644	3879	2135
645	3885	2129
646	3891	2122
647	3897	2117
648	3903	2111
649	3909	2104
650	3914	2098
651	3920	2092
652	3926	2086
653	3931	2080
654	3937	2073
655	3943	2067
656	3949	2061
657	3955	2055
658	3961	2049
659	3967	2043
660	3974	2038
661	3982	2033
662	3990	2028
663	3996	2022
664	4003	2016
665	4010	2011
666	4016	2005
667	4021	1998
668	4027	1992
669	4034	1986
670	4039	1980
671	4045	1974
672	4051	1968
673	4057	1962
674	4063	1956
675	4069	1950
676	4075	1944
677	4081	1938
678	4086	1931
679	4092	1925
680	4098	1919
681	4103	1913
682	4109	1907
683	4115	1901
684	4120	1894
685	4126	1888
686	4132	1882
687	4138	1876
688	4143	1870
689	4150	1864
690	4156	1858
691	4162	1852
692	4168	1846
693	4173	1840
694	4179	1834
695	4184	1827
696	4190	1821
697	4196	1815
698	4202	1809
699	4208	1803
700	4214	1797
701	4219	1791
702	4225	1785
703	4231	1779
704	4237	1772
705	4243	1767
706	4249	1761
707	4255	1755
708	4261	1749
709	4267	1742
710	4273	1736
711	4279	1731
712	4286	1725
713	4292	1719
714	4297	1713
715	4303	1707
716	4309	1700
717	4315	1694
718	4320	1688
719	4326	1682
720	4332	1676
721	4337	1670
722	4344	1664
723	4349	1658
724	4355	1652
725	4361	1646
726	4367	1639
727	4372	1633
728	4378	1627
729	4384	1621
730	4389	1615
731	4395	1609
732	4400	1603
733	4407	1597
734	4413	1591
735	4419	1585
736	4424	1579
737	4430	1572
738	4436	1567
739	4442	1560
740	4448	1554
741	4454	1548
