iter	Passed	Remaining
0	37	18904
1	72	17992
2	138	22899
3	186	23076
4	224	22181
5	289	23810
6	368	25946
7	446	27485
8	473	25811
9	490	24028
10	557	24793
11	599	24383
12	617	23127
13	682	23689
14	748	24208
15	820	24829
16	895	25438
17	985	26386
18	1034	26189
19	1071	25720
20	1154	26324
21	1242	26993
22	1307	27115
23	1378	27337
24	1445	27466
25	1505	27449
26	1525	26729
27	1587	26768
28	1649	26796
29	1668	26134
30	1732	26205
31	1797	26287
32	1825	25828
33	1841	25244
34	1905	25314
35	1975	25468
36	2047	25620
37	2116	25729
38	2183	25806
39	2247	25845
40	2311	25876
41	2374	25889
42	2436	25890
43	2479	25701
44	2497	25248
45	2554	25216
46	2614	25195
47	2676	25205
48	2700	24855
49	2716	24450
50	2732	24052
51	2792	24057
52	2852	24059
53	2909	24026
54	2965	23996
55	3024	23978
56	3060	23783
57	3118	23767
58	3169	23689
59	3229	23680
60	3254	23422
61	3313	23411
62	3373	23399
63	3438	23424
64	3496	23402
65	3514	23110
66	3537	22859
67	3596	22848
68	3626	22654
69	3658	22473
70	3674	22203
71	3689	21933
72	3719	21759
73	3778	21753
74	3840	21761
75	3905	21786
76	3963	21771
77	4025	21777
78	4089	21791
79	4148	21777
80	4212	21790
81	4245	21639
82	4305	21631
83	4364	21613
84	4423	21599
85	4486	21598
86	4544	21572
87	4606	21566
88	4670	21568
89	4733	21562
90	4793	21546
91	4857	21540
92	4920	21532
93	4981	21517
94	5040	21488
95	5101	21466
96	5161	21442
97	5220	21416
98	5284	21403
99	5349	21398
100	5411	21378
101	5470	21347
102	5531	21319
103	5590	21285
104	5652	21263
105	5714	21240
106	5773	21207
107	5835	21181
108	5895	21147
109	5955	21115
110	6016	21083
111	6076	21050
112	6135	21012
113	6200	20993
114	6260	20959
115	6323	20932
116	6385	20902
117	6446	20870
118	6511	20849
119	6570	20807
120	6633	20776
