iter	Passed	Remaining
0	56	28055
1	115	28658
2	175	29021
3	221	27492
4	276	27400
5	299	24682
6	358	25261
7	426	26215
8	488	26660
9	551	27039
10	621	27609
11	687	27957
12	751	28138
13	819	28449
14	886	28647
15	927	28060
16	994	28268
17	1063	28465
18	1128	28560
19	1205	28932
20	1278	29154
21	1342	29173
22	1406	29176
23	1425	28273
24	1490	28323
25	1549	28241
26	1614	28282
27	1676	28260
28	1696	27547
29	1753	27466
30	1814	27454
31	1831	26787
32	1888	26719
33	1951	26752
34	1988	26422
35	1998	25752
36	2057	25743
37	2095	25480
38	2155	25478
39	2215	25474
40	2279	25523
41	2341	25534
42	2398	25492
43	2462	25516
44	2522	25501
45	2553	25199
46	2612	25183
47	2634	24812
48	2649	24389
49	2708	24374
50	2768	24376
51	2830	24384
52	2892	24397
53	2953	24393
54	3013	24378
55	3078	24411
56	3145	24443
57	3204	24420
58	3264	24400
59	3326	24396
60	3385	24366
61	3444	24331
62	3469	24064
63	3478	23695
