iter	Logloss
0	0.6826010088
1	0.6738090296
2	0.6662165925
3	0.6624490329
4	0.6578031882
5	0.6559876261
6	0.6482240075
7	0.6398654606
8	0.6372383232
9	0.6317264242
10	0.6285078996
11	0.6245167567
12	0.6199675027
13	0.615689962
14	0.6136374152
15	0.6130951864
16	0.6101551978
17	0.6035176102
18	0.6004778389
19	0.5946325863
20	0.5926614198
21	0.5882100387
22	0.5846144503
23	0.5845676929
24	0.5797881942
25	0.5768046657
26	0.5746621067
27	0.5728803824
28	0.5728684903
29	0.570901179
30	0.567854545
31	0.5677001154
32	0.5632152483
33	0.5616543757
34	0.5613622805
35	0.5613622673
36	0.5594389775
37	0.5592540656
38	0.5570790498
39	0.5564381386
40	0.5548619539
41	0.552738161
42	0.5502634129
43	0.5478815148
44	0.5462460719
45	0.5462260331
46	0.5453281714
47	0.5452947921
48	0.5452117817
49	0.544267849
50	0.5430127771
51	0.5418461383
52	0.5412088698
53	0.5398244
54	0.5383965056
55	0.5357393252
56	0.5339498516
57	0.5320042433
58	0.5303799804
59	0.5297917842
60	0.5272596927
61	0.5265599206
62	0.5264676568
63	0.5264676545
